"FIPS","County","State","caShort"
"48375","Potter","Texas","mda"
"48377","Presidio","Texas","mda"
"48379","Rains","Texas","mda"
"48381","Randall","Texas","mda"
"48383","Reagan","Texas","mda"
"48385","Real","Texas","mda"
"48387","Red River","Texas","mda"
"48389","Reeves","Texas","mda"
"48391","Refugio","Texas","mda"
"48393","Roberts","Texas","mda"
"48395","Robertson","Texas","mda"
"48397","Rockwall","Texas","mda"
"48399","Runnels","Texas","mda"
"48401","Rusk","Texas","mda"
"48403","Sabine","Texas","mda"
"48405","San Augustine","Texas","mda"
"48407","San Jacinto","Texas","mda"
"48409","San Patricio","Texas","mda"
"48411","San Saba","Texas","mda"
"48413","Schleicher","Texas","mda"
"48415","Scurry","Texas","mda"
"48417","Shackelford","Texas","mda"
"48419","Shelby","Texas","mda"
"48421","Sherman","Texas","mda"
"48423","Smith","Texas","mda"
"48425","Somervell","Texas","mda"
"48427","Starr","Texas","mda"
"48429","Stephens","Texas","mda"
"48431","Sterling","Texas","mda"
"48433","Stonewall","Texas","mda"
"48435","Sutton","Texas","mda"
"48437","Swisher","Texas","mda"
"48439","Tarrant","Texas","mda"
"48441","Taylor","Texas","mda"
"48443","Terrell","Texas","mda"
"48445","Terry","Texas","mda"
"48447","Throckmorton","Texas","mda"
"48449","Titus","Texas","mda"
"48451","Tom Green","Texas","mda"
"48453","Travis","Texas","mda"
"48455","Trinity","Texas","mda"
"48457","Tyler","Texas","mda"
"48459","Upshur","Texas","mda"
"48461","Upton","Texas","mda"
"48463","Uvalde","Texas","mda"
"48465","Val Verde","Texas","mda"
"48467","Van Zandt","Texas","mda"
"48469","Victoria","Texas","mda"
"48471","Walker","Texas","mda"
"48473","Waller","Texas","mda"
"48475","Ward","Texas","mda"
"48477","Washington","Texas","mda"
"48479","Webb","Texas","mda"
"48481","Wharton","Texas","mda"
"48483","Wheeler","Texas","mda"
"48485","Wichita","Texas","mda"
"48487","Wilbarger","Texas","mda"
"48489","Willacy","Texas","mda"
"48491","Williamson","Texas","mda"
"48493","Wilson","Texas","mda"
"48495","Winkler","Texas","mda"
"48497","Wise","Texas","mda"
"48499","Wood","Texas","mda"
"48501","Yoakum","Texas","mda"
"48503","Young","Texas","mda"
"48505","Zapata","Texas","mda"
"48507","Zavala","Texas","mda"
